id,publication_date,abstract,title
10.1371/journal.pone.0058486,2013-03-11T00:00:00Z,"
        We previously reported that leukocyte specific β2 integrins contribute to hypertrophy after muscle overload in mice. Because intercellular adhesion molecule-1 (ICAM-1) is an important ligand for β2 integrins, we examined ICAM-1 expression by murine skeletal muscle cells after muscle overload and its contribution to the ensuing hypertrophic response. Myofibers in control muscles of wild type mice and cultures of skeletal muscle cells (primary and C2C12) did not express ICAM-1. Overload of wild type plantaris muscles caused myofibers and satellite cells/myoblasts to express ICAM-1. Increased expression of ICAM-1 after muscle overload occurred via a β2 integrin independent mechanism as indicated by similar gene and protein expression of ICAM-1 between wild type and β2 integrin deficient (CD18-/-) mice. ICAM-1 contributed to muscle hypertrophy as demonstrated by greater (p<0.05) overload-induced elevations in muscle protein synthesis, mass, total protein, and myofiber size in wild type compared to ICAM-1-/- mice. Furthermore, expression of ICAM-1 altered (p<0.05) the temporal pattern of Pax7 expression, a marker of satellite cells/myoblasts, and regenerating myofiber formation in overloaded muscles. In conclusion, ICAM-1 expression by myofibers and satellite cells/myoblasts after muscle overload could serve as a mechanism by which ICAM-1 promotes hypertrophy by providing a means for cell-to-cell communication with β2 integrin expressing myeloid cells.
      ",Skeletal Muscle Cells Express ICAM-1 after Muscle Overload and ICAM-1 Contributes to the Ensuing Hypertrophic Response
10.1371/journal.pone.0020822,2011-06-21T00:00:00Z,"
        An outbreak of norovirus (NoV) genotype I and Enterotoxigenic Escherichia coli (ETEC) occurred among US Navy Ship personnel following a visit to Lima, Peru, in June 2008. Visiting a specific area in Lima was significantly associated with illness. While ETEC and NoV are commonly recognized as causative agents of outbreaks, co-circulation of both pathogens has been rarely observed in shipboard outbreaks.
      ","Concurrent Outbreak of Norovirus Genotype I and Enterotoxigenic Escherichia coli on a U.S. Navy Ship following a Visit to Lima, Peru"
10.1371/journal.pone.0164127,2016-10-05T00:00:00Z,"Background: Although studies show that portion size affects energy intake, few have demonstrated a link between portion size and weight status, especially in free-living populations. The objective of the present study was to assess the relationship between food portion sizes and overweight in a representative population of adults of São Paulo, Brazil. Methods: Cross-sectional population-based study with 1005 adults from São Paulo, Brazil. Dietary data were obtained from two 24-hour recalls. Reported foods were classified into groups and energy contribution, prevalence of consumers and portion sizes were calculated. Individuals were classified according to BMI in with and without overweight. Logistic regression models were used to evaluate the association between food portion sizes and being overweight. Results: The most consumed food groups were: beans, breads/rolls, coffee/tea, milk, rice, and sugar. Rice, red meat, breads/rolls, and white meat were the groups with the highest percentage of contribution to total energy intake. Butter/margarine, toasts/biscuits, sugar, and cakes were the groups with the highest energy density. After adjustment for confounding variables, overweight was associated with larger portions of pizza (OR = 1.052; p = 0.048), red meat (OR = 1.025; p = 0.043), rice (OR = 1.033; p<0.001), salted snacks (OR = 1.078; p = 0.022), and soft drinks (OR = 1.016; p = 0.007). Conclusions: Larger portions of few food groups with different energy densities were associated with being overweight, suggesting that overweight may be related to the consumption of larger portion sizes of a series of food groups, not a food group alone. Additionally, we highlight the importance of considering underreporting as a confounding factor in these associations. ",Association of Overweight with Food Portion Size among Adults of São Paulo – Brazil
10.1371/journal.pbio.0020407,2004-10-26T00:00:00Z,NA,Paying Attention to Memory
10.1371/journal.pone.0106627,2014-09-12T00:00:00Z,"Background: Gestational diabetes prevalence is increasing, mostly because obesity among women of reproductive age is continuously escalating. We aimed to investigate the incidence of gestational diabetes according to the consumption of fast food in a cohort of university graduates. Methods: The prospective dynamic “Seguimiento Universidad de Navarra” (SUN) cohort included data of 3,048 women initially free of diabetes or previous gestational diabetes who reported at least one pregnancy between December 1999 and March 2011. Fast food consumption was assessed through a validated 136-item semi-quantitative food frequency questionnaire. Fast food was defined as the consumption of hamburgers, sausages, and pizza. Three categories of fast food were established: low (0–3 servings/month), intermediate (>3 servings/month and ≤2 servings/week) and high (>2 servings/week). Non-conditional logistic regression models were used to adjust for potential confounders. Results: We identified 159 incident cases of gestational diabetes during follow-up. After adjusting for age, baseline body mass index, total energy intake, smoking, physical activity, family history of diabetes, cardiovascular disease/hypertension at baseline, parity, adherence to Mediterranean dietary pattern, alcohol intake, fiber intake, and sugar-sweetened soft drinks consumption, fast food consumption was significantly associated with a higher risk of incident gestational diabetes, with multivariate adjusted OR of 1.31 (95% conficence interval [CI]:0.81–2.13) and 1.86 (95% CI: 1.13–3.06) for the intermediate and high categories, respectively, versus the lowest category of baseline fast food consumption (p for linear trend: 0.007). Conclusion: Our results suggest that pre-pregnancy higher consumption of fast food is an independent risk factor for gestational diabetes. ",Fast Food Consumption and Gestational Diabetes Incidence in the SUN Project
10.1371/journal.pone.0085751,2014-01-22T00:00:00Z,"Background: Tobacco retailers are key players in the ongoing tobacco epidemic. Tobacco outlet density is linked to a greater likelihood of youth and adult smoking and greater difficulty quitting. While public policy efforts to address the tobacco problem at the retail level have been limited, some retailers have voluntarily ended tobacco sales. A previous pilot study examined this phenomenon in California, a state with a strong tobacco program focused on denormalizing smoking and the tobacco industry. We sought to learn what motivated retailers in other states to end tobacco sales and how the public and media responded. Methods: We conducted interviews with owners, managers, or representatives of six grocery stores in New York and Ohio that had voluntarily ended tobacco sales since 2007. We also conducted unobtrusive observations at stores and analyzed media coverage of each retailer’s decision. Results: Grocery store owners ended tobacco sales for two reasons, alone or in combination: health or ethics-related, including a desire to send a consistent health message to employees and customers, and business-related, including declining tobacco sales or poor fit with the store’s image. The decision to end sales often appeared to resolve troubling contradictions between retailers’ values and selling deadly products. New York retailers attributed declining sales to high state tobacco taxes. All reported largely positive customer reactions and most received media coverage. Forty-one percent of news items were letters to the editor or editorials; most (69%) supported the decision. Conclusion: Voluntary decisions by retailers to abandon tobacco sales may lay the groundwork for mandatory policies and further denormalize tobacco. Our study also suggests that high tobacco taxes may have both direct and indirect effects on tobacco use. Highlighting the contradictions between being a responsible business and selling deadly products may support voluntary decisions by retailers to end tobacco sales. ",“People over Profits”: Retailers Who Voluntarily Ended Tobacco Sales
10.1371/journal.pone.0078660,2013-11-13T00:00:00Z,"
Hyperphosphatemia is an important determinant of morbidity and mortality in patients with chronic kidney disease (CKD). Patients with CKD are advised to consume a low phosphate diet and are often prescribed phosphate-lowering drug therapy. However, commercially processed food and drinks often contain phosphate compounds, but the phosphate level is not usually provided in the ingredient list, which makes it difficult for CKD patients to choose a correct diet. We conducted a survey of the awareness of food/beverages containing artificially added phosphate among CKD patients undergoing hemodialysis. The subjects were 153 patients (77 males and 76 females; average age 56±11 years) who were randomly selected from the Dialysis Center of Hirosaki City, Japan. The subjects were provided with a list of questions. The survey results showed that 93% of the subjects were aware of the presence of high sugar content in soda, whereas only 25% were aware of the presence of phosphate (phosphoric acid) in such drinks. Despite 78% of the subjects being aware of the detrimental effects of consumption of a high phosphate diet, 43% drank at least 1 to 5 cans of soda per week and about 17% consumed “fast food” once each week. We also assessed the immediate effects of high-phosphate containing carbonated soda consumption by determining urinary calcium, phosphate, protein and sugar contents in overnight fasted healthy volunteers (n = 55; average age 20.7±0.3 years old, 20 males and 35 females). Significantly higher urinary calcium (adjusted using urinary creatinine) excretion was found 2 h after consuming 350 ml of carbonated soda compared to the fasting baseline level (0.15±0.01 vs. 0.09±0.01, p = 0.001). Our survey results suggest that CKD patients undergoing hemodialysis are not adequately aware of the hidden source of phosphate in their diet, and emphasize the need for educational initiatives to raise awareness of this issue among CKD patients.
",Inadequate Awareness among Chronic Kidney Disease Patients Regarding Food and Drinks Containing Artificially Added Phosphate
10.1371/journal.pone.0165243,2016-10-21T00:00:00Z,"
We examined whether playing a computerized fraction game, based on the integrated theory of numerical development and on the Common Core State Standards’ suggestions for teaching fractions, would improve children’s fraction magnitude understanding. Fourth and fifth-graders were given brief instruction about unit fractions and played Catch the Monster with Fractions, a game in which they estimated fraction locations on a number line and received feedback on the accuracy of their estimates. The intervention lasted less than 15 minutes. In our initial study, children showed large gains from pretest to posttest in their fraction number line estimates, magnitude comparisons, and recall accuracy. In a more rigorous second study, the experimental group showed similarly large improvements, whereas a control group showed no improvement from practicing fraction number line estimates without feedback. The results provide evidence for the effectiveness of interventions emphasizing fraction magnitudes and indicate how psychological theories and research can be used to evaluate specific recommendations of the Common Core State Standards.
",Improving Children’s Knowledge of Fraction Magnitudes
10.1371/journal.pone.0184220,2017-08-31T00:00:00Z,"Objectives: The current study investigates which foods may be most implicated in addictive-like eating by examining how nutritionally diverse foods relate to loss of control consumption and various subjective effect reports. Subjective effect reports assess the abuse liabilities of substances and may similarly provide insight into which foods may be reinforcing in a manner that triggers an addictive-like response for some individuals. Design: Cross-sectional. Setting: Online community. Participants: 507 participants (n = 501 used in analyses) recruited through Amazon MTurk. Measurements: Participants (n = 501) self-reported how likely they were to experience a loss of control over their consumption of 30 nutritionally diverse foods and rated each food on five subjective effect report questions that assess the abuse liability of substances (liking, pleasure, craving, averseness, intensity). Hierarchical cluster analytic techniques were used to examine how foods grouped together based on each question. Results: Highly processed foods, with added fats and/or refined carbohydrates, clustered together and were associated with greater loss of control, liking, pleasure, and craving. The clusters yielded from the subjective effect reports assessing liking, pleasure, and craving were most similar to clusters formed based on loss of control over consumption, whereas the clusters yielded from averseness and intensity did not meaningfully differentiate food items. Conclusion: The present work applies methodology used to assess the abuse liability of substances to understand whether foods may vary in their potential to be associated with addictive-like consumption. Highly processed foods (e.g., pizza, chocolate) appear to be most related to an indicator of addictive-like eating (loss of control) and several subjective effect reports (liking, pleasure, craving). Thus, these foods may be particularly reinforcing and capable of triggering an addictive-like response in some individuals. Future research is warranted to understand whether highly processed foods are related to these indicators of abuse liability at a similar magnitude as addictive substances. ",Foods are differentially associated with subjective effect report questions of abuse liability
10.1371/journal.pone.0085970,2014-01-16T00:00:00Z,"Introduction: We examined the impact of a 24 hour complete fast (vs. fed state) on two measures of food reward: 1) ‘wanting’, as measured by response to food images and by the relative-reinforcing value of food (RRV), and 2) ‘liking’, as measured by response to food images and the hedonic evaluation of foods consumed. Methods: Utilizing a randomized crossover design, 15 subjects (9 male; 6 female) aged 28.6±4.5 yrs with body mass index 25.3±1.4 kg/m2 were randomized and counterbalanced to normal feeding (FED) and 24-hour fast (FASTED) conditions. Trait characteristics were measured with the Three Factor Eating Questionnaire. Two computer tasks measured food reward: 1) RRV progressive ratio task, 2) explicit ‘liking’ and ‘wanting’ (Leeds Food Preference Questionnaire, LFPQ). Also measured were ad libitum energy intake (EI; buffet) and food ‘liking’ (visual analogue scale) of personalized stimuli. Results: There were no significant anthropometric changes between conditions. Appetite scores, hedonic ratings of ‘liking’, and ad libitum EI all significantly increased under the FASTED condition (p<0.05). Under the FASTED condition there were significant increases in the RRV of snack foods; similarly, explicit ‘wanting’ and ‘liking’ significantly increased for all food categories. ‘Liking’ of sweet foods remained high across-meals under FASTED, but savory foods decreased in hedonic saliency. Conclusion: Relative to a fed state, we observed an increase in hedonic ratings of food, the rewarding value of food, and food intake after a 24 hr fast. Alliesthesia to food and food cues is suggested by heightened hedonic ratings under the FASTED condition relative to FED. ",Fasting for 24 Hours Heightens Reward from Food and Food-Related Cues
